#timestamp x y z qx qy qz qw
1670531278.40213537 8.78852427 3.77279348 0.14005970 -0.02318351 -0.00132976 0.74140153 0.67065977
1670531278.50215054 8.77881920 3.86207059 0.13929973 -0.01980666 -0.00474419 0.74015912 0.67212325
1670531278.60225224 8.76131360 3.94825229 0.14407994 -0.01951953 -0.01465369 0.73612906 0.67640097
1670531278.70218778 8.74927335 4.03889751 0.13560004 -0.01952715 -0.01159279 0.73601400 0.67658531
1670531278.80209160 8.74059553 4.13677842 0.13660887 -0.02144446 -0.01314868 0.73484895 0.67776416
1670531278.90202451 8.73172432 4.23125577 0.13063136 -0.01784781 -0.01193616 0.73438442 0.67839406
1670531279.00515556 8.72198501 4.32466822 0.13269425 -0.01786428 -0.01554097 0.73245790 0.68040045
1670531279.10227466 8.71889517 4.41295329 0.12907910 -0.01633309 -0.01346790 0.72593308 0.68743946
1670531279.20251942 8.72116371 4.51077510 0.13323039 -0.01584064 -0.01171834 0.71745134 0.69632990
1670531279.30268931 8.71931249 4.60413551 0.13633847 -0.01596587 -0.01283464 0.70922247 0.70468706
1670531279.40280437 8.72481482 4.70946083 0.13525726 -0.02019937 -0.00595320 0.69937356 0.71444606
1670531279.50280666 8.73295782 4.79939504 0.13905049 -0.01606062 -0.00806812 0.68970495 0.72386742
1670531279.60250592 8.73845163 4.89405211 0.13700044 -0.01834925 -0.00873203 0.68514009 0.72812782
1670531279.70215750 8.74296855 4.98250876 0.14144868 -0.01600831 -0.01148029 0.68407368 0.72914686
1670531279.80196118 8.74980896 5.07606914 0.13596727 -0.01703398 -0.00829993 0.68267532 0.73047612
1670531279.90189695 8.75390776 5.17773717 0.13681340 -0.02078718 -0.01155565 0.68078034 0.73210142
1670531280.00193644 8.75854944 5.27528847 0.12543721 -0.02265491 -0.00817395 0.67906033 0.73368727
1670531280.10200357 8.76724489 5.37104804 0.12487710 -0.02053569 -0.00857628 0.67855105 0.73421605
1670531280.20211124 8.76952334 5.45612712 0.12777896 -0.01728594 -0.01143494 0.67900669 0.73383946
1670531280.30217981 8.76801595 5.54836683 0.11317832 -0.01593778 -0.01389732 0.68186572 0.73117165
1670531280.40233612 8.77890779 5.63069140 0.11638945 -0.00950570 -0.01456312 0.68185309 0.73128238
1670531280.50239968 8.78772101 5.75295486 0.09394907 -0.03185341 0.00430517 0.68427350 0.72851672
1670531280.60252857 8.80053673 5.86860015 0.10717733 -0.02835107 0.02089460 0.68522841 0.72747623
1670531280.70274973 8.81380744 5.94622419 0.14305309 -0.02296374 0.00999880 0.68413825 0.72892218
1670531280.80268168 8.81125859 6.01701092 0.14685416 -0.01134683 -0.00996109 0.68942372 0.72420091
1670531280.90287185 8.83978500 6.08487112 0.13015901 -0.00365374 -0.00322254 0.68667005 0.72695289
1670531281.00282049 8.83650575 6.18369977 0.10477780 -0.00804105 -0.00715295 0.68896756 0.72471228
1670531281.10292339 8.84417123 6.27461447 0.10988258 -0.00560869 0.00051778 0.68653170 0.72707805
1670531281.20279789 8.83119002 6.38146892 0.10132038 -0.00886902 -0.00449717 0.68752917 0.72608867
1670531281.30273080 8.83542825 6.48170391 0.11808583 -0.00864410 0.00044679 0.68647166 0.72710504
1670531281.40262413 8.84376265 6.57593241 0.12518550 -0.00613278 -0.00285946 0.68688099 0.72673841
1670531281.50253391 8.84950588 6.66602890 0.13841141 -0.00331223 -0.00376780 0.68685248 0.72677954
1670531281.60244823 8.85300512 6.76158341 0.13154636 -0.00597359 -0.00230856 0.68683987 0.72678056
1670531281.70240521 8.85971096 6.85590355 0.12961342 -0.00342242 0.00036521 0.68661893 0.72700935
1670531281.80238271 8.86367080 6.94535141 0.12681210 -0.00467077 -0.00156539 0.68640531 0.72720251
1670531281.90241313 8.86519692 7.04199551 0.11631783 -0.00720454 0.00364453 0.68684652 0.72675764
1670531282.00245380 8.86944793 7.14336483 0.11142862 -0.00730416 0.00354722 0.68649997 0.72708449
1670531282.10250163 8.87811362 7.23454828 0.11980148 -0.00388711 0.00258540 0.68643578 0.72717544
1670531282.20256424 8.88464510 7.32255181 0.11403768 -0.00503269 0.00204012 0.68611204 0.72747562
1670531282.30256963 8.89900654 7.41306153 0.11095579 -0.00316493 0.00549851 0.68638098 0.72721448
